
#TBID:2021-05-03 02:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-05-03_02-30-00_000_995
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-05-03 02:30:00
 638.674478961 -0.000112458824495035 0 0
 642.052604956 -0.000112448430676894 0 0
 645.430196453 -0.000136891555558919 0 0
 648.80724192 5.31926007873067e-005 0 0
 652.183729825 8.291504753006e-005 0 0
 655.559648636 7.13439343476652e-005 0 0
 658.934986821 3.72055921769852e-005 0 0
 662.309732848 5.13624873421743e-005 0 0
 665.683875185 5.21939086252025e-005 0 0
 669.0574023 0.000134308182629495 0 0
 672.430302661 -9.9675661844483e-005 0 0
 675.802564736 -7.61283371446637e-005 0 0
 679.174176993 5.94643065645863e-005 0 0
 682.5451279 3.95900073777007e-005 0 0
 685.915405925 2.54911995806896e-005 0 0
 689.284999536 -2.20935558559976e-005 0 0
 692.653897201 -3.57906619548423e-005 0 0
 696.022087388 -6.62546292079811e-005 0 0
 699.389558565 4.55876598563712e-005 0 0
 702.7562992 -0.000103051344088649 0 0
 706.122297761 2.29737991306327e-007 0 0
 709.487542716 2.09407336140757e-005 0 0
 712.852022533 0.000138089146343493 0 0
 716.21572568 5.62009446772138e-005 0 0
 719.578640625 8.38845891606061e-005 0 0
 722.940755836 -0.000119747728586847 0 0
 726.302059781 -2.44250188456629e-005 0 0
 729.662540928 -5.19207028599693e-005 0 0
 733.022187745 -4.49375223145428e-005 0 0
 736.3809887 2.13291849465133e-005 0 0
 739.738932261 -1.09206095483152e-005 0 0
 743.096006896 -4.08495268853277e-005 0 0
 746.452201073 -3.47212428867722e-005 0 0
 749.80750326 -0.000742894969726711 0 0
 753.161901925 9.09951528744917e-005 0 0
 756.515385536 0.000122640505780032 0 0
 759.867942561 5.93220744551791e-005 0 0
 763.219561468 4.47878137690289e-006 0 0
 766.570230725 0.000130483521630187 0 0
 769.9199388 -6.35077968165664e-005 0 0
 773.268674161 -4.41289723649749e-005 0 0
 776.616425276 -4.094948009704e-005 0 0
 779.963180613 2.52296909881765e-005 0 0
 783.30892864 0.000145684283913655 0 0
 786.653657825 -0.000104828818696293 0 0
 789.997356636 1.65663159786723e-005 0 0
 793.340013541 -1.49258371228634e-005 0 0
 796.681617008 5.41065012699784e-005 0 0
 800.022155505 6.03311138450386e-005 0 0
 803.3616175 0.000178251378034093 0 0
 806.699991461 -2.24743920784182e-005 0 0
 810.037265856 0.000148837785374421 0 0
 813.373429153 3.10992823353178e-005 0 0
 816.70846982 -9.6045901557559e-005 0 0
 820.042376325 0.000223377948854433 0 0
 823.375137136 0.000151345495429044 0 0
 826.706740721 7.11218476965276e-005 0 0
 830.037175548 -0.000118129844481463 0 0
 833.366430085 5.96847369468261e-005 0 0
 836.6944928 0.000150493315059416 0 0
 840.021352161 -2.64849008742311e-005 0 0
 843.346996636 4.21688391362683e-005 0 0
 846.671414693 -0.000137950774613366 0 0
 849.9945948 -7.14095786893046e-005 0 0
 853.316525425 0.00018443120998794 0 0
 856.637195036 -0.00015404765308937 0 0
 859.956592101 -5.76810382588376e-005 0 0
 863.274705088 -0.000177608055441016 0 0
 866.591522465 -0.000298857227190727 0 0
 869.9070327 -0.000379570221580827 0 0
 873.221224261 -6.86353746467125e-005 0 0
 876.534085616 -7.54792656060121e-005 0 0
 879.845605233 8.82253628733236e-005 0 0
 883.15577158 0.000650142871479106 0 0
 886.464573125 0.000659470769610866 0 0
 889.771998336 -0.000118930099121631 0 0
 893.078035681 -2.56881829902984e-006 0 0
 896.382673628 0.00017787096302745 0 0
 899.685900645 0.00042509225844476 0 0
 902.9877052 4.39492855407295e-005 0 0
 906.288075761 -0.000916915869698567 0 0
 909.587000796 -4.84302040183715e-005 0 0
 912.884468773 -0.000278876070768298 0 0
 916.18046816 0.000245060214456995 0 0
 919.474987425 9.60435643353822e-005 0 0
 922.768015036 0.000312621520091465 0 0
 926.059539461 0.00100243892275609 0 0
 929.349549168 -0.000967058625889013 0 0
 932.638032625 0.000727727200593222 0 0
 935.9249783 0.000347968593303063 0 0
 939.210374661 0.00010102866042934 0 0
 942.494210176 -0.00022196436474558 0 0
 945.776473313 -0.000566199725461734 0 0
 949.05715254 0.00113976152702943 0 0
 952.336236325 -0.000656436673814772 0 0
 955.613713136 0 0 0
 958.889571441 0 0 0
 962.163799708 0 0 0
 965.436386405 0 0 0
 968.70732 0 0 0
 971.976588961 0 0 0
 975.244181756 0 0 0
 978.510086853 0 0 0
 981.77429272 0 0 0
 985.036787825 0 0 0
 988.297560636 0 0 0
 991.556599621 0 0 0
 994.813893248 0 0 0
 998.069429985 0 0 0
 1001.3231983 0 0 0
 1004.575186661 0 0 0
 1007.825383536 0 0 0
 1011.073777393 0 0 0
 1014.3203567 0 0 0
 1017.565109925 0 0 0
 1020.808025536 0 0 0
 1024.049092001 0 0 0
 1027.288297788 0 0 0
