ID;Year;Doy;PC_D;PC_SY;PC_S;PC_RV;PC_H1;PC_H1b;PC_H3;PC_W;PC_L;Chla_NDCI;Chla_G08;PC_Lu;PC_Br1;PC_Br2;PC_Br3;chla_OC4Me;CHL_m;CHL2D_m;CHL2C_m;CHL_P;CHL2_P;NDCI
2021001;2021;1.6458;-0.00010050345554094356;-1.9789404913257722;46.88481410825144;-28.082120106256806;-0.05443186580300845;-0.04498887136162615;0.012213474387403157;-0.0006225606264950414;-7.8018589459775045;12.12536688798857;22.745777134063317;-0.00014358440188550967;0.9550853103910657;0.9389157659020899;0.9343553330025074;3.5100937846748232;16.91210585084486;60.26436281708578;24.153409224527124;11.035136091058355;8.755622493664356;-0.023464236210770192
2021001;2021;1.6667;-4.293709231154713e-05;-4.917649652680786;44.14513820993876;-26.749847767395956;-0.05846601797319602;-0.05396306036506165;0.017174985127617132;-0.000801276159489639;-5.409596000325775;12.141141165480953;22.933684770043126;-0.00019152755391234084;0.9478304289777922;0.9261758939464468;0.9128781331425595;3.1802249079790426;20.377442322732872;65.90095299200904;24.591280736173772;13.637103266775984;11.009366649717254;-0.023259469645724774
2021001;2021;1.6875;-4.001387777076426e-05;13.453273363430325;49.928178964659566;-26.74471503545541;-0.045066069811254585;-0.025946087441503982;0.009945455887415827;-0.0008735895887134596;-4.895180437012916;11.829551275947583;23.86698865772456;-0.00015171812235344564;0.9722224594726165;0.9677163110030785;0.9638915337276808;3.710322310719361;22.80454163846839;69.84878439817092;24.902681512177427;15.437880395242496;12.742084346634087;-0.027344210178516067
2021131;2021;131.6458;0.0009159777744413445;91.77897121792522;72.04996871718254;-1.0902855637161153;-0.0036204070981831833;0.08909893380928538;0.059113485781409396;-0.0020062621363229173;48.03860769612379;5.8811695476576045;36.60087549502046;0.00029701273922630943;1.0156035312248997;1.1841190561184705;1.0767300774764554;8.405110072156079;34.87798201707702;89.4870030726507;26.511311851472406;24.13102392963381;18.054181715252792;-0.1372242519303614
2021131;2021;131.6667;0.0009294085584277308;94.41348254426072;72.87662318891233;-0.8027617241708036;-0.0033843157159215154;0.09187166343462184;0.05850509506217311;-0.0020390735711618927;48.3549736979354;5.81869616601238;36.93401787319023;0.00029188337702450054;1.0194427334851486;1.190971548333172;1.0854291100855538;9.264233752086502;35.85020514083679;91.06838581908048;26.645281932930757;24.81186999384313;18.606877542191754;-0.13915195523049861
2021131;2021;131.6875;0.0008491107871545188;82.61695304097594;69.75672384074558;-3.105335033931002;-0.01047170602322051;0.07879771050679263;0.05097538131593725;-0.0020801755489428878;40.68694652237207;6.11286898267967;35.90292771147222;0.00030077057328377083;1.0109788975125085;1.1623269100768427;1.0734037335275792;8.875663258877642;35.966161538333594;91.25699627470352;26.661305574929216;24.892883274591092;18.727686213579574;-0.13043015619676873
2021002;2021;2.4167;-7.606146276966166e-05;-6.844772693207245;43.984392150476346;-27.56479394661617;-0.0584063354905511;-0.054271123223990345;0.014913218877132841;-0.0006012349027973992;-7.208224085170727;11.99127150026018;22.601681841362776;-0.00017646281305770174;0.9471008894050108;0.9159052866332691;0.9114208357719821;4.896218553944344;17.912327693468292;61.89128726053044;24.278988212600837;11.789886338052332;9.57039476010205;-0.025213556991969012
2021002;2021;2.4375;-7.607632223108514e-05;-0.7813533447580039;46.13234976776686;-27.561955277805726;-0.05709607642033035;-0.04483984548410685;0.012398037954596116;-0.0006347909088645258;-7.113690311088597;11.692805097156402;23.22105583920068;-0.00017750769561237383;0.9539781525902197;0.9347058615822569;0.9301969596438994;4.8842620689313785;19.0361288220835;63.71922127256852;24.42086178662864;12.634278244790636;10.26704679819333;-0.029164240889555673
2021002;2021;2.4583;-5.414319936974249e-05;1.1600984522495617;45.216097760777565;-27.107767628022266;-0.05530716488281611;-0.047580889942872434;0.013010103645065866;-0.0006800930155928717;-6.052473058604652;11.861001561661311;22.95648614100231;-0.00017101506230038214;0.9543366104897016;0.9277011791604949;0.924266492844794;5.1046384798002755;19.945510042521093;65.19838766635468;24.536272683903288;13.314765579720865;10.976591451763905;-0.026928027959491074
2021002;2021;2.4792;-6.821926180239704e-05;1.4165819710171104;45.99324920893405;-27.35498251923568;-0.05449062515616412;-0.045377081455518255;0.012078607355974576;-0.0006396795270821878;-6.522170633442154;11.862575633425573;23.0062121436463;-0.00018162329356803827;0.9555753258911137;0.93331473936884;0.9305067419936583;4.857311840197918;19.654698481938144;64.72536416678008;24.499306166172747;13.09742412076048;10.706600564533968;-0.026907221618874058
