Doy;PC_D;PC_SY;PC_S;PC_RV;PC_H1;PC_H1b;PC_H3;PC_W;PC_L;Chla_NDCI;Chla_G08;PC_Lu;PC_Br1;PC_Br2;PC_Br3;chla_OC4Me;CHL_m;CHL2D_m;CHL2C_m;CHL_P;CHL2_P;NDCI
2021132;0.0006603204954097192;71.28661963692817;70.37940199559552;-8.088965787348148;-0.01617960214590366;0.08766286303523818;0.04148141636982867;-0.00192696039193024;32.79105389793346;6.3353593450495795;35.5825748529924;0.0002244971689175962;1.0067786245575183;1.1580995356413624;1.0822555475393514;7.761760874276336;34.93711945639844;89.58319387898462;26.519441578434755;24.172519407465717;18.249676594238352;-0.12435192716262021
2021133;0.0008351322550407391;81.77910079621883;70.73711683322142;-3.5285605421357076;-0.01400206212208628;0.08578903051655332;0.05028459989178445;-0.0022204188178587547;40.55195617640529;5.778684169529393;37.37381304598626;0.0003098255740726656;1.0084484641287226;1.1763272577278605;1.0817136892840333;9.161611149200237;37.58682911154778;93.89311516073445;26.886271562940184;26.02091232791929;19.674245271604534;-0.1404106294752962
2021134;0.0009584161678560712;94.79952556980469;73.1406924704041;-0.2102928108001656;-0.005040600080301705;0.09182044923880547;0.05706554643854684;-0.0023405017576373895;47.34872984449093;5.649704444104759;37.80061947210354;0.0004132536764012791;1.0192664821564479;1.1970076823145022;1.0902062455953518;10.112098095031433;38.10570126883334;94.73709372602616;26.95869695972211;26.380383176757572;19.89008883687131;-0.14460799183140702
2021135;0.000919802968302165;91.2691191779786;71.68765095504273;-1.3797649184769192;-0.010218851666559697;0.08590013511822925;0.052702779060159174;-0.002400273626217312;43.801107122697104;5.608785338574146;38.00379710816708;0.00040063833408181043;1.0156995798329604;1.1886857579950463;1.0917663752309188;10.718263239827303;38.99554898230356;96.18448762835375;27.083358482550732;26.994968002563862;20.443454486224564;-0.1459883014159888
2021136;0.00070928643248638;78.07425495906634;71.68760402174999;-6.811007751461144;-0.013379909618942783;0.09201403197539579;0.04337851738702264;-0.002038984018717079;35.52231367371444;6.072178094061938;36.44660671745941;0.00027768163321071205;1.011349955782085;1.1734569208764893;1.0920850470592511;8.53862103751859;35.68696342696492;90.80286278891813;26.622740405352925;24.6977517801904;18.635543623701516;-0.13158619092049934
2021137;0.0007073367503213166;82.77412252080094;75.02571223600314;-6.771149928545313;-0.005101401560833921;0.10776765464653862;0.03998365806987914;-0.0019863216787758403;36.21717091593824;6.241658498466789;36.27893623944566;0.0002781588543797971;1.0200215247877673;1.1883003379682526;1.1122209078677256;7.896702008593049;35.75060020470371;90.9063720553562;26.631525536119458;24.74224824856487;18.64131852395908;-0.126864187397588
2021138;0.0007135250091235175;82.3503630799778;65.99373758082666;-6.725920985635387;-0.0129266446406606;0.056445892087783285;0.041582287485634535;-0.0016900208600389294;32.80091456067123;6.741244036321158;33.16591937414885;0.0002235796434568258;1.0136572729782858;1.1272395695560187;1.0682732619975737;8.967703330958445;31.138908527752214;83.40516222856044;26.002323161031224;21.48592433787993;16.07857416764252;-0.11414584926563132
2021139;0.00033126752989166147;39.83893734618886;56.91822176293499;-17.196847034182014;-0.042601306278495586;0.022744045426647;0.02487197888078822;-0.0012937636607339366;11.686311684674564;7.619795479133549;30.856641063547244;-4.769605192138067e-05;0.9794411773491459;1.0503552507052;1.028036877025514;6.885461251925456;27.277036226638106;77.12358130680703;25.48687478219667;18.709573732856278;14.336607723301102;-0.09483875223694097
2021167;0.0014157447257928711;328.2585935161436;816.8198068984914;13.449511948915465;1.075490467904766;3.999109141831387;0.9590396313203653;-0.00859023985841839;1374.5514202672243;36.423632143824555;317.5677307569814;0.0006222002783601526;1.2441320763883255;4.962319305075514;2.7722964515281907;19.535491001682928;141.539039522279;262.97799699428623;46.08865943644385;81.78539837823803;72.45391264984103;-0.6268980900734087
2021168;0.0013133880369914233;246.12249930004307;583.2799215373483;10.38780034253763;0.6600615284247495;2.8829311418935406;0.5299515659463832;-0.0076979100514916144;755.3052592683069;24.12540132314244;231.60057605975192;0.0005989433990980274;1.183230367566627;3.7095896311555676;2.3200657419236035;10.82915760055803;124.06716433422824;234.55888074933569;42.097238929987775;74.6963686001276;63.59273783875115;-0.539379881347319
2021169;0.0013659101681715866;337.210385095807;744.2412467983258;12.202564529334545;1.1198055205257225;3.9610484395414116;0.8982409563421854;-0.007570557132448499;1233.0818785546248;32.96299654377465;283.7907104100773;0.0006116373113854236;1.2542533380807879;4.663401869597156;2.6847957682895096;17.387714120521768;121.40540233681848;230.2293555663425;41.52027953022201;73.53540233949106;62.13819823843256;-0.6042998720943515
2021170;0.0013864353889080578;326.7756225062085;736.058367025063;12.710737669924022;1.082049268360041;3.903981017523165;0.8662975549867211;-0.007685285521687285;1197.3261595740887;32.18952418638484;283.4193537168886;0.0006316958770640035;1.2453367646173863;4.557933235919622;2.647612121632918;17.237270360569823;121.95450808989166;231.12251099810922;41.63865187521241;73.77665591893707;62.46410887428875;-0.599064110005403
2021171;0.0014501205272864984;203.15410578483272;511.84927509694273;13.24806177601483;0.4729932061539697;2.2702278804688922;0.34279142038954263;-0.0081704771676198;550.4840750872048;16.407081405245734;203.10364519095552;0.0006711725338249782;1.1515192695521286;3.0433814425429087;2.0593965788115978;8.45806346206802;129.24912115364518;242.98766310053065;43.243570026843265;76.89513107588867;66.04557679878513;-0.4691257464113653
2021172;0.001334507385825536;300.3093469677419;588.930007632275;11.204873262271896;0.8881164052997734;3.302397258832214;0.668564519886898;-0.006677366899237988;868.9184796906213;25.292754852675735;227.71969619229318;0.0006245625978535171;1.2255700714836892;3.8858468479486223;2.409379615047184;14.402204496069885;101.90521919481614;198.51106742922263;37.527771445756606;64.37700501039751;52.042191933909585;-0.54869448774886
2021173;0.0013739504202922867;324.60506677038927;701.3994032509595;12.342850494625367;1.0835099955223237;3.85242171592613;0.8148109142891368;-0.007292003924429999;1104.65702888199;29.586504989860856;266.70070584476383;0.0006516683878098506;1.246693097799506;4.336741215467188;2.583860715589823;16.531510357677103;112.16806204348669;215.20423406307646;39.578657212243925;69.3402931798627;57.32222294703348;-0.5808838579648409
2021174;0.0014088727797992046;334.91312665580784;768.0645612527313;13.294584893518369;1.1870102781889624;4.137105681353841;0.8785729562353015;-0.007701340108606781;1235.0295723609775;31.13834848875213;288.326804947193;0.0006941887552841181;1.2571988282627211;4.525076791383108;2.645191869125784;16.694661493723864;117.98243574738922;224.6616827000607;40.78993022394389;72.01095025084129;60.14846193180617;-0.5918298628125008
2021175;0.0013717888342335257;356.05174546710566;899.7293865759011;12.373311526944576;1.4073600730556692;4.794755334571879;1.035970047843247;-0.008121766529969956;1515.2812226645535;35.37490050813679;330.93422528404056;0.0006964978625154304;1.2788884593698981;5.033078317219301;2.8354998662989113;18.853249860749845;125.45623705827441;236.81829588322793;42.401508856874955;75.29372953454686;64.23799131639758;-0.6201851095879954
2021176;0.0013481507964015586;356.3026148889233;872.7267527134502;11.758928048933385;1.3973581028297244;4.72689870496689;1.0019736712511826;-0.007873078249282002;1448.823250066924;34.41949814214433;319.49145099544137;0.0006906797497434915;1.280471243740139;4.943278596537374;2.8054581203025224;18.224598448747113;120.85605061978397;229.33580005854878;41.402190902598385;73.29312876717472;61.82134797172232;-0.613969578702217
2021177;0.0013247878049710525;390.0861905935235;1075.9579960915644;11.26717371554421;1.7861126266022265;5.712271439773262;1.2272348371582906;-0.008387315474001922;1899.1200529096784;39.02374588092909;377.1257568705938;0.0006910152856707723;1.3171552054230924;5.621446961983862;3.0589257434928;20.22123629017311;129.91383660247902;244.0688650554956;43.39285686701814;77.17130435088791;66.5494427872717;-0.6430806699882414
2021178;0.00132875336232757;409.4550458095644;1144.908674351584;11.41132466949923;1.958389782972526;6.080533413132086;1.3289925442118626;-0.008458793142792936;2083.648179176022;40.4703698513816;394.32932076528687;0.0006872661700853581;1.3345818602734965;5.8694173539859325;3.150089839822083;20.335102101180816;131.32254627746946;246.3602209390541;43.71094122280013;77.75217548475008;67.23258670250245;-0.6518207177541738
2021179;0.0013276558829681843;368.5428135869473;861.9434631124042;11.330113210610648;1.5047517456055075;4.862584065764318;0.9872175672382009;-0.007435494440416873;1426.0198981531742;32.71502465670474;306.68910865633677;0.0006724701139612919;1.2956542201901124;4.852196283234878;2.7932002103800175;16.152506852198776;111.6165623998183;214.30718481599968;39.46565129221667;69.08167272194257;56.81708423953043;-0.602629144345246
2021180;0.0013761862151375854;394.4694788543259;1131.0852698593797;12.667933431407434;1.8705218359276259;5.936027035213622;1.2566580129428984;-0.008675242044941339;2029.8120683988668;39.35974487754266;397.1123755497548;0.0006911155316170047;1.3177747867137355;5.65952725959825;3.0780679047293265;19.50977428983049;133.3777903996323;249.7032062220215;44.17919912397989;78.58888217984384;68.29019793900686;-0.6451267506798636
2021181;0.001400637785130332;415.0001366937495;1404.259866191628;13.346067931278313;2.237932763243983;6.998036170989746;1.5403703268697169;-0.009594843279205;2706.759903125222;44.395615911963105;487.71638706384863;0.0007133344860229998;1.3363790436770695;6.349732766271337;3.298350301731317;23.54305989392365;147.98748092378983;273.46679706959935;47.65557107768645;84.16870232571523;76.02714742144933;-0.6746872940502676
2021182;0.0012440229648360479;396.47253698010053;1254.8993750921427;9.22431211328471;2.1128420650344863;6.797453863032593;1.4354601488605085;-0.008592720545092025;2311.9857710517285;43.29238707796267;442.7502307178139;0.0006340669975142027;1.3184371603536984;6.13031020203137;3.226044106307676;23.12286278532578;131.6803157572572;246.94215575289348;43.79209559850211;77.89874408418652;68.04963953915268;-0.6683786697510437
2021183;0.0013485868705051642;404.00175228385456;1332.6603475038062;11.925707792410549;2.1287849995181185;6.832019667851164;1.5053476207772734;-0.009299491934801295;2534.3106237363654;44.35608411575644;471.84799455829506;0.0007066190339992443;1.3235714946141162;6.260980573920763;3.2464383911831303;23.460265424987657;143.13803889327198;265.5788711712567;46.47233085570369;82.38809560564206;73.81637799785808;-0.6744627563116775
2021184;0.0013211318200013747;404.77033654315204;1244.8497655427825;11.279643141078779;2.090770195062797;6.598372632122732;1.417367079980089;-0.008791111674267427;2305.626703360312;42.428958712701785;437.279990372973;0.000681783765917446;1.325410159355849;6.040242397224077;3.189805869987895;23.1097241412445;134.24685254578714;251.11679107710057;44.37870840150278;78.9388441088872;69.10160468788887;-0.6633784680105738
2021185;0.001311903625033823;388.22644473226563;1117.3767139878798;10.963084491517336;1.9004713027446263;6.140121397593593;1.2784903925719167;-0.00830585448828582;1990.0039686700393;39.486196072507404;397.52877347265013;0.0006685995066522906;1.3106998665618865;5.623540049496455;3.043559622656881;21.054631751392055;124.60783982324217;235.43832382042578;42.21541098477958;74.92957547741716;63.95440669629604;-0.6458942255538032
2021186;0.0012788303276774398;372.4835721691723;1111.2768931718965;10.072231715778457;1.84408576074073;6.138310831525201;1.2623785260428504;-0.00830911004781524;1957.4964385950661;39.7280882715292;401.65479470091026;0.0006405735649992696;1.2953628805298047;5.591711804006408;3.0203015545247256;20.58813557766587;124.95294092702325;235.9996527149524;42.29101095019895;75.07796428050999;64.30507774916153;-0.6473584965299192
2021187;0.0012405750028691162;339.6357306269085;890.3152159076728;8.994514453553911;1.4727469767490182;5.143277501794807;1.0051399639219414;-0.007529134290427029;1451.3944056847095;34.490750438431334;330.6356501415199;0.0006277718661458265;1.2644122691233013;4.903371391469094;2.7778294539307393;19.172845986848692;111.32819357044009;213.83813457409292;39.406691136306165;68.94607890846729;57.28981635789218;-0.6144365159517301
2021188;0.0012368727404124258;336.39266181690914;864.0303062012138;8.84433413356382;1.4171416962623988;5.049258357721442;1.009284107746691;-0.007443352322896068;1411.8683488997156;34.617051500879434;326.1083153736233;0.0006216873543169147;1.2584000953142607;4.866909024914296;2.755774265313411;20.244377983964686;110.22172614246489;212.03839492860916;39.181278032273624;68.42347477550314;56.88561635584679;-0.615262843048705
2021189;0.0013340575510641895;358.72433278940406;1138.346181725841;11.41089509407508;1.7223949219215096;6.0563385915297046;1.296857225142412;-0.008917628727556852;2040.0679283716017;41.394970275037544;428.0604627523774;0.0006654441319517201;1.2760439883076902;5.648262424673432;3.0150683236450004;25.68348641435431;135.7313566381217;253.53143140116913;44.72158990969568;79.53135820560902;70.32922728880705;-0.6573150427066359
2021190;0.0013546278897002915;314.41459563704643;1035.411726647981;11.756571076499547;1.329364231680967;5.251462320008962;1.072755346076863;-0.009312064695284217;1732.7557052701502;38.51923227925162;406.8026196480281;0.0007182763292735552;1.2352030243974252;5.150660317775207;2.8082488104799976;23.65839030110467;142.10620337244055;263.90052506950383;46.22438352904207;82.00005892093291;73.86640230176964;-0.6399896216252559
